tag;patrones;respuestas
Resultado por la Enajenacion de Inversiones Permanentes;Resultado por la Enajenacion de Inversiones Permanentes;Resultado por la Enajenacion de Inversiones Permanentes
Resultado por la Enajenacion de Inversiones en otras sociedades;Resultado por la Enajenacion de Inversiones en otras sociedades;Resultado por la Enajenacion de Inversiones en otras sociedades
Resultado por la Enajenacion de Inversiones en Valores Negociables;Resultado por la Enajenacion de Inversiones en Valores Negociables;Resultado por la Enajenacion de Inversiones en Valores Negociables
Resultado por la Enajenacion Propiedad Planta y Equipos,Propiedad de Inversion y Activos no Corrientes mantenidos para la venta;Resultado por la Enajenacion Propiedad Planta y Equipos,Propiedad de Inversion y Activos no Corrientes mantenidos para la venta;Resultado por la Enajenacion Propiedad Planta y Equipos,Propiedad de Inversion y Activos no Corrientes mantenidos para la venta
Resultado enajenación Activo Fijo;Resultado enajenación Activo Fijo;Resultado enajenación Activo Fijo
Otros egresos fuera de la explotación ;Otros egresos fuera de la explotación ;Otros egresos fuera de la explotación 
Corrección monetaria;Corrección monetaria;Corrección monetaria
Diferencias de cambio;Diferencias de cambio;Diferencias de cambio
Donaciones;Donaciones;Donaciones
Intereses,Multas y Reajustes;Intereses,Multas y Reajustes;Intereses,Multas y Reajustes
Patentes Municipales;Patentes Municipales;Patentes Municipales
Otros Impuestos;Otros Impuestos;Otros Impuestos
Resultado Antes de Impuesto a la Renta ;Resultado Antes de Impuesto a la Renta ;Resultado Antes de Impuesto a la Renta 
Impuesto a La Renta;Impuesto a La Renta;Impuesto a La Renta
Impuesto Diferido;Impuesto Diferido;Impuesto Diferido
