tag;patrones;respuestas;id
Barcos y Aviones;Barcos y Aviones;Barcos y Aviones;1.02.18.00
Propiedades de Inversion;Propiedades de Inversion;Propiedades de Inversion;1.02.19.00
Software;Software;Software;1.02.25.00
Concesiones;Concesiones;Concesiones;1.02.26.00
Obras en Ejecución;Obras en Ejecución;Obras en Ejecución;1.02.27.00
Obras en Ejecución;Obras en Ejecución;Obras en Ejecución;1.02.28.00
Activos en Leasing;Activos en Leasing;Activos en Leasing;1.02.30.00
Depreciación Acumulada (excepto Automoviles y Activos en Leasing);Depreciación Acumulada (excepto Automoviles y Activos en Leasing);Depreciación Acumulada (excepto Automoviles y Activos en Leasing);1.02.90.00
Depreciación Acumulada Automóviles;Depreciación Acumulada Automóviles;Depreciación Acumulada Automóviles;1.02.92.00
Depreciación Acumulada Activos en Leasing;Depreciación Acumulada Activos en Leasing;Depreciación Acumulada Activos en Leasing;1.02.95.00
Otros Bienes Propiedad Planta y Equipo;Otros Bienes Propiedad Planta y Equipo;Otros Bienes Propiedad Planta y Equipo;1.02.99.00
Inversiones en empresas relacionadas;Inversiones en empresas relacionadas;Inversiones en empresas relacionadas;1.03.01.00
Menor valor de inversiones (Plusvalias, Goodwill);Menor valor de inversiones (Plusvalias, Goodwill);Menor valor de inversiones (Plusvalias, Goodwill);1.03.03.00
Mayor valor de inversiones (Minusvalias, Badwill);Mayor valor de inversiones (Minusvalias, Badwill);Mayor valor de inversiones (Minusvalias, Badwill);1.03.04.00
Cuenta Particular Socio;Cuenta Particular Socio;Cuenta Particular Socio;1.03.05.00
Inversiones en otras sociedades en Chile;Inversiones en otras sociedades en Chile;Inversiones en otras sociedades en Chile;1.03.10.00
Deudores a largo plazo;Deudores a largo plazo;Deudores a largo plazo;1.03.20.00
Anticipo y préstamos a los empleados;Anticipo y préstamos a los empleados;Anticipo y préstamos a los empleados;1.03.24.00
Anticipo a proveedores;Anticipo a proveedores;Anticipo a proveedores;1.03.25.00
Gastos pagados por anticipado;Gastos pagados por anticipado;Gastos pagados por anticipado;1.03.30.00
Gastos de Investigación y Desarrollo;Gastos de Investigación y Desarrollo;Gastos de Investigación y Desarrollo;1.03.31.00
Gastos Diferidos;Gastos Diferidos;Gastos Diferidos;1.03.32.00
Menor Valor en Colocacion de bonos;Menor Valor en Colocacion de bonos;Menor Valor en Colocacion de bonos;1.03.33.00
Intereses Diferidos por Leasing;Intereses Diferidos por Leasing;Intereses Diferidos por Leasing;1.03.40.00
Otros Intereses Diferidos;Otros Intereses Diferidos;Otros Intereses Diferidos;1.03.41.00
Garantias;Garantias;Garantias;1.03.45.00
Impuestos diferidos ;Impuestos diferidos ;Impuestos diferidos ;1.03.50.00
Intangibles distintos a la Plusvalia (neto);Intangibles distintos a la Plusvalia (neto);Intangibles distintos a la Plusvalia (neto);1.03.60.00
Posicion de Cambio;Posicion de Cambio;Posicion de Cambio;1.03.70.00
Intereses Suspendidos;Intereses Suspendidos;Intereses Suspendidos;1.03.71.00
Cuentas de Orden de Activos;Cuentas de Orden de Activos;Cuentas de Orden de Activos;1.03.98.00
Otros Activos No Corrientes;Otros Activos No Corrientes;Otros Activos No Corrientes;1.03.99.00
Obligaciones con bancos e instituciones financieras ;Obligaciones con bancos e instituciones financieras ;Obligaciones con bancos e instituciones financieras ;2.01.01.00
Obligaciones con el público (Bonos Emitidos);Obligaciones con el público (Bonos Emitidos);Obligaciones con el público (Bonos Emitidos);2.01.03.00
Obligaciones por Leasing;Obligaciones por Leasing;Obligaciones por Leasing;2.01.04.00
Instrumentos derivados ;Instrumentos derivados ;Instrumentos derivados ;2.01.07.00
Fondo Opcion de Compra por Pagar (Leasing);Fondo Opcion de Compra por Pagar (Leasing);Fondo Opcion de Compra por Pagar (Leasing);2.01.08.00
Cuentas por pagar;Cuentas por pagar;Cuentas por pagar;2.01.10.00
Proveedores por Pagar;Proveedores por Pagar;Proveedores por Pagar;2.01.11.00
Acreedores varios;Acreedores varios;Acreedores varios;2.01.12.00
Documentos por pagar;Documentos por pagar;Documentos por pagar;2.01.14.00
Dividendos por pagar;Dividendos por pagar;Dividendos por pagar;2.01.20.00
Documentos y cuentas por pagar empresas relacionadas situadas en Chile (cuenta corriente mercantil);Documentos y cuentas por pagar empresas relacionadas situadas en Chile (cuenta corriente mercantil);Documentos y cuentas por pagar empresas relacionadas situadas en Chile (cuenta corriente mercantil);2.01.40.00
Documentos y cuentas por pagar empresas relacionadas situadas en el Extranjero (cuenta corriente mercantil);Documentos y cuentas por pagar empresas relacionadas situadas en el Extranjero (cuenta corriente mercantil);Documentos y cuentas por pagar empresas relacionadas situadas en el Extranjero (cuenta corriente mercantil);2.01.41.00
Provision de Indemnización;Provision de Indemnización;Provision de Indemnización;2.01.50.00
Provisiones por Vacaciones, por Bonos y por otros Beneficios a los Empleados;Provisiones por Vacaciones, por Bonos y por otros Beneficios a los Empleados;Provisiones por Vacaciones, por Bonos y por otros Beneficios a los Empleados;2.01.51.00
Otras Provisiones;Otras Provisiones;Otras Provisiones;2.01.54.00
Retenciones por Pagar;Retenciones por Pagar;Retenciones por Pagar;2.01.55.00
IVA Débito Fiscal ;IVA Débito Fiscal ;IVA Débito Fiscal ;2.01.59.00
Impuesto a la renta por Pagar;Impuesto a la renta por Pagar;Impuesto a la renta por Pagar;2.01.60.00
Otros Impuestos por Pagar;Otros Impuestos por Pagar;Otros Impuestos por Pagar;2.01.61.00
Ingresos percibidos por adelantado;Ingresos percibidos por adelantado;Ingresos percibidos por adelantado;2.01.62.00
Anticipo de Clientes;Anticipo de Clientes;Anticipo de Clientes;2.01.70.00
Otros pasivos Corrientes;Otros pasivos Corrientes;Otros pasivos Corrientes;2.01.99.00
Obligaciones con bancos e instituciones financieras ;Obligaciones con bancos e instituciones financieras ;Obligaciones con bancos e instituciones financieras ;2.02.01.00
Obligaciones con el público (Bonos Emitidos);Obligaciones con el público (Bonos Emitidos);Obligaciones con el público (Bonos Emitidos);2.02.02.00
Documentos por pagar largo plazo;Documentos por pagar largo plazo;Documentos por pagar largo plazo;2.02.03.00
Acreedores varios largo plazo;Acreedores varios largo plazo;Acreedores varios largo plazo;2.02.04.00
Provisiones ;Provisiones ;Provisiones ;2.02.06.00
Impuestos diferidos ;Impuestos diferidos ;Impuestos diferidos ;2.02.07.00
Cuentas de Orden de Pasivos;Cuentas de Orden de Pasivos;Cuentas de Orden de Pasivos;2.02.98.00
Otros pasivos NO Corrientes;Otros pasivos NO Corrientes;Otros pasivos NO Corrientes;2.02.99.00
Capital pagado;Capital pagado;Capital pagado;2.03.01.00
Reserva revalorización capital;Reserva revalorización capital;Reserva revalorización capital;2.03.02.00
Sobreprecio en venta de acciones propias;Sobreprecio en venta de acciones propias;Sobreprecio en venta de acciones propias;2.03.03.00
Otras reservas;Otras reservas;Otras reservas;2.03.04.00
Reservas futuros dividendos;Reservas futuros dividendos;Reservas futuros dividendos;2.03.05.00
Utilidades acumuladas;Utilidades acumuladas;Utilidades acumuladas;2.03.06.00
Pérdidas acumuladas;Pérdidas acumuladas;Pérdidas acumuladas;2.03.07.00
Dividendos provisorios;Dividendos provisorios;Dividendos provisorios;2.03.08.00
Cuenta Obligada Socio;Cuenta Obligada Socio;Cuenta Obligada Socio;2.03.09.00
Reserva Ajuste IFRS por 1a Aplicación;Reserva Ajuste IFRS por 1a Aplicación;Reserva Ajuste IFRS por 1a Aplicación;2.03.20.00
Reserva Ajuste IFRS ;Reserva Ajuste IFRS ;Reserva Ajuste IFRS ;2.03.21.00
Valor Mercado Intrumentos Derivados de Cobertura acogidos Ley 20.544;Valor Mercado Intrumentos Derivados de Cobertura acogidos Ley 20.545;Valor Mercado Intrumentos Derivados de Cobertura acogidos Ley 20.546;2.03.30.00
Valor Mercado Intrumentos Derivados de Cobertura No acogidos Ley 20.544;Valor Mercado Intrumentos Derivados de Cobertura No acogidos Ley 20.545;Valor Mercado Intrumentos Derivados de Cobertura No acogidos Ley 20.546;2.03.31.00
Otros ajustes patrimoniales;Otros ajustes patrimoniales;Otros ajustes patrimoniales;2.03.99.00
Ingresos de explotación;Ingresos de explotación;Ingresos de explotación;3.01.01.00
Costos de explotación ;Costos de explotación ;Costos de explotación ;3.01.02.00
Gastos de administración y ventas ;Gastos de administración y ventas ;Gastos de administración y ventas ;3.01.03.00
Ingresos de explotación con partes relacionadas del exterior;Ingresos de explotación con partes relacionadas del exterior;Ingresos de explotación con partes relacionadas del exterior;3.01.11.00
Costos de explotación con relacionados del exterior;Costos de explotación con relacionados del exterior;Costos de explotación con relacionados del exterior;3.01.12.00
Gastos de administración y ventas con relacionados del exterior;Gastos de administración y ventas con relacionados del exterior;Gastos de administración y ventas con relacionados del exterior;3.01.13.00
Resultado Fuera De Explotacion;Resultado Fuera De Explotacion;Resultado Fuera De Explotacion;3.02.00.00
Ingresos financieros;Ingresos financieros;Ingresos financieros;3.02.01.00
Utilidad (pérdida) inversiones empresas relacionadas;Utilidad (pérdida) inversiones empresas relacionadas;Utilidad (pérdida) inversiones empresas relacionadas;3.02.02.00
Otros ingresos fuera de la explotación;Otros ingresos fuera de la explotación;Otros ingresos fuera de la explotación;3.02.03.00
Gastos financieros con empresas relacionadas ;Gastos financieros con empresas relacionadas ;Gastos financieros con empresas relacionadas ;3.02.06.00
Gastos financieros con empresas no relacionadas ;Gastos financieros con empresas no relacionadas ;Gastos financieros con empresas no relacionadas ;3.02.07.00
Resultado por Instrumentos Derivados;Resultado por Instrumentos Derivados;Resultado por Instrumentos Derivados;3.02.08.00
Ingresos financieros con partes relacionadas del exterior;Ingresos financieros con partes relacionadas del exterior;Ingresos financieros con partes relacionadas del exterior;3.02.11.00
Gastos financieros con partes relacionadas del exterior;Gastos financieros con partes relacionadas del exterior;Gastos financieros con partes relacionadas del exterior;3.02.16.00
Intereses percibidos o devengado con partes relacionadas del exterior;Intereses percibidos o devengado con partes relacionadas del exterior;Intereses percibidos o devengado con partes relacionadas del exterior;3.02.30.00
Intereses pagados o adeudados con partes relacionadas del exterior;Intereses pagados o adeudados con partes relacionadas del exterior;Intereses pagados o adeudados con partes relacionadas del exterior;3.02.31.00
Resultados que no representan flujo de fondos;Resultados que no representan flujo de fondos;Resultados que no representan flujo de fondos;3.03.00.00
Depreciacion;Depreciacion;Depreciacion;3.03.01.00
Deterioros;Deterioros;Deterioros;3.03.02.00
Amortización Intangibles distintos a las Plusvalias;Amortización Intangibles distintos a las Plusvalias;Amortización Intangibles distintos a las Plusvalias;3.03.03.00
Amortización menor valor de inversiones (Goodwill);Amortización menor valor de inversiones (Goodwill);Amortización menor valor de inversiones (Goodwill);3.03.04.00
Amortización mayor valor de inversiones;Amortización mayor valor de inversiones;Amortización mayor valor de inversiones;3.03.05.00
Castigos;Castigos;Castigos;3.03.06.00
Ajustes a Valor de Mercado;Ajustes a Valor de Mercado;Ajustes a Valor de Mercado;3.04.00.00
Valor Mercado Instrumentos Derivados acogidos Ley 20.544;Valor Mercado Instrumentos Derivados acogidos Ley 20.545;Valor Mercado Instrumentos Derivados acogidos Ley 20.546;3.04.01.00
Valor Mercado Instrumentos Derivados NO acogidos Ley 20.544;Valor Mercado Instrumentos Derivados NO acogidos Ley 20.545;Valor Mercado Instrumentos Derivados NO acogidos Ley 20.546;3.04.02.00
Ajuste Valor Mercado Existencias (VNR) y Activos Biologicos;Ajuste Valor Mercado Existencias (VNR) y Activos Biologicos;Ajuste Valor Mercado Existencias (VNR) y Activos Biologicos;3.04.03.00
Ajuste Valor Mercado Propiedad Planta y Equipo, Propiedad Inversion, Activos No Corrientes Mantenidos para la Venta;Ajuste Valor Mercado Propiedad Planta y Equipo, Propiedad Inversion, Activos No Corrientes Mantenidos para la Venta;Ajuste Valor Mercado Propiedad Planta y Equipo, Propiedad Inversion, Activos No Corrientes Mantenidos para la Venta;3.04.04.00
Ajuste Valor Mercado Fondos Mutuos;Ajuste Valor Mercado Fondos Mutuos;Ajuste Valor Mercado Fondos Mutuos;3.04.05.00
Ajuste Valor Mercado Valores Negociables;Ajuste Valor Mercado Valores Negociables;Ajuste Valor Mercado Valores Negociables;3.04.06.00
Ajuste Valor Neto Realización;Ajuste Valor Neto Realización;Ajuste Valor Neto Realización;3.04.07.00
Otros Ajustes a Valor Mercado;Otros Ajustes a Valor Mercado;Otros Ajustes a Valor Mercado;3.04.99.00
Otros Resultados;Otros Resultados;Otros Resultados;3.05.00.00
Resultado por la Enajenacion de Inversiones Permanentes;Resultado por la Enajenacion de Inversiones Permanentes;Resultado por la Enajenacion de Inversiones Permanentes;3.05.01.00
Resultado por la Enajenacion de Inversiones en otras sociedades;Resultado por la Enajenacion de Inversiones en otras sociedades;Resultado por la Enajenacion de Inversiones en otras sociedades;3.05.02.00
Resultado por la Enajenacion de Inversiones en Valores Negociables;Resultado por la Enajenacion de Inversiones en Valores Negociables;Resultado por la Enajenacion de Inversiones en Valores Negociables;3.05.05.00
Resultado por la Enajenacion Propiedad Planta y Equipos,Propiedad de Inversion y Activos no Corrientes mantenidos para la venta;Resultado por la Enajenacion Propiedad Planta y Equipos,Propiedad de Inversion y Activos no Corrientes mantenidos para la venta;Resultado por la Enajenacion Propiedad Planta y Equipos,Propiedad de Inversion y Activos no Corrientes mantenidos para la venta;3.05.07.00
Resultado enajenación Activo Fijo;Resultado enajenación Activo Fijo;Resultado enajenación Activo Fijo;3.05.08.00
Otros egresos fuera de la explotación ;Otros egresos fuera de la explotación ;Otros egresos fuera de la explotación ;3.05.10.00
Corrección monetaria;Corrección monetaria;Corrección monetaria;3.05.11.00
Diferencias de cambio;Diferencias de cambio;Diferencias de cambio;3.05.12.00
Donaciones;Donaciones;Donaciones;3.05.13.00
Intereses,Multas y Reajustes;Intereses,Multas y Reajustes;Intereses,Multas y Reajustes;3.05.15.00
Patentes Municipales;Patentes Municipales;Patentes Municipales;3.05.16.00
Otros Impuestos;Otros Impuestos;Otros Impuestos;3.05.17.00
Resultado Antes de Impuesto a la Renta ;Resultado Antes de Impuesto a la Renta ;Resultado Antes de Impuesto a la Renta ;3.06.00.00
Impuesto a La Renta;Impuesto a La Renta;Impuesto a La Renta;3.06.01.00
Impuesto Diferido;Impuesto Diferido;Impuesto Diferido;3.06.02.00
Corr.mon. de las acciones de sociedades anónimas (SPA, FIP)  Art. 41 inciso 1 N°8;Corr.mon. de las acciones de sociedades anónimas (SPA, FIP)  Art. 41 inciso 1 N°9;Corr.mon. de las acciones de sociedades anónimas (SPA, FIP)  Art. 41 inciso 1 N°10;5.01.01.01
Corr.mon. de los aportes en sociedades de personas. Art. 41 inciso 1 N°9;Corr.mon. de los aportes en sociedades de personas. Art. 41 inciso 1 N°10;Corr.mon. de los aportes en sociedades de personas. Art. 41 inciso 1 N°11;5.01.01.02
Corr.mon.bonos, pagares y otros activos financieros;Corr.mon.bonos, pagares y otros activos financieros;Corr.mon.bonos, pagares y otros activos financieros;5.01.01.03
Interes a valor tributario por activos financieros;Interes a valor tributario por activos financieros;Interes a valor tributario por activos financieros;5.01.01.04
Dividendos Percibidos contabilizados en ingresos según registros contables;Dividendos Percibidos contabilizados en ingresos según registros contables;Dividendos Percibidos contabilizados en ingresos según registros contables;5.01.01.05
Ajuste por Valor Mercado de Fondos Mutuos;Ajuste por Valor Mercado de Fondos Mutuos;Ajuste por Valor Mercado de Fondos Mutuos;5.01.01.06
Ajuste por Valor Mercado otros instrumentos Financieros ;Ajuste por Valor Mercado otros instrumentos Financieros ;Ajuste por Valor Mercado otros instrumentos Financieros ;5.01.01.07
Deterioro por activos financieros;Deterioro por activos financieros;Deterioro por activos financieros;5.01.01.08
Ajuste tasa efectiva por activos financieros;Ajuste tasa efectiva por activos financieros;Ajuste tasa efectiva por activos financieros;5.01.01.09
Resultado por Enajenación activos financieros según registros contables ;Resultado por Enajenación activos financieros según registros contables ;Resultado por Enajenación activos financieros según registros contables ;5.01.01.10
Resultado por Enajenación activos financieros a valor tributario;Resultado por Enajenación activos financieros a valor tributario;Resultado por Enajenación activos financieros a valor tributario;5.01.01.11
Otros agregados al resultado tributario por activos financieros;Otros agregados al resultado tributario por activos financieros;Otros agregados al resultado tributario por activos financieros;5.01.01.98
Otros deducidos al resultado tributario por activos financieros;Otros deducidos al resultado tributario por activos financieros;Otros deducidos al resultado tributario por activos financieros;5.01.01.99
Valor mercado instrumentos derivados NO acogidos Ley 20.544;Valor mercado instrumentos derivados NO acogidos Ley 20.545;Valor mercado instrumentos derivados NO acogidos Ley 20.546;5.01.02.01
Valor mercado instrumentos derivados registrados en patrimonio acogidos Ley 20.544;Valor mercado instrumentos derivados registrados en patrimonio acogidos Ley 20.545;Valor mercado instrumentos derivados registrados en patrimonio acogidos Ley 20.546;5.01.02.02
Ineficacia por Instrumentos derivados;Ineficacia por Instrumentos derivados;Ineficacia por Instrumentos derivados;5.01.02.03
Ajuste por pactos o contratos de retrocompra y/o retroventa según registros contables;Ajuste por pactos o contratos de retrocompra y/o retroventa según registros contables;Ajuste por pactos o contratos de retrocompra y/o retroventa según registros contables;5.01.02.04
Ajuste por pactos, contratos de retrocompra y/o retroventa a valor tributario;Ajuste por pactos, contratos de retrocompra y/o retroventa a valor tributario;Ajuste por pactos, contratos de retrocompra y/o retroventa a valor tributario;5.01.02.05
Otros agregados al resultado tributario por instrumentos derivados;Otros agregados al resultado tributario por instrumentos derivados;Otros agregados al resultado tributario por instrumentos derivados;5.01.02.96
Otras deducciones al resultado tributario por instrumentos derivados;Otras deducciones al resultado tributario por instrumentos derivados;Otras deducciones al resultado tributario por instrumentos derivados;5.01.02.97
Otros agregados al resultado tributario por pactos, pactos retrocompra y/o retroventa;Otros agregados al resultado tributario por pactos, pactos retrocompra y/o retroventa;Otros agregados al resultado tributario por pactos, pactos retrocompra y/o retroventa;5.01.02.98
Otras deducciones al resultado tributario por pactos, pactos retrocompra y/o retroventa;Otras deducciones al resultado tributario por pactos, pactos retrocompra y/o retroventa;Otras deducciones al resultado tributario por pactos, pactos retrocompra y/o retroventa;5.01.02.99
Castigo directo deudores incobrables según registros contables;Castigo directo deudores incobrables según registros contables;Castigo directo deudores incobrables según registros contables;5.01.03.01
Estimación deudores incobrables según registros contables;Estimación deudores incobrables según registros contables;Estimación deudores incobrables según registros contables;5.01.03.02
Castigo deudores incobrables Art.31 Inciso 4 N°4;Castigo deudores incobrables Art.31 Inciso 4 N°5;Castigo deudores incobrables Art.31 Inciso 4 N°6;5.01.03.03
Estimacion deudores incobrables Art.31 Inciso 4 N°4 ;Estimacion deudores incobrables Art.31 Inciso 4 N°5;Estimacion deudores incobrables Art.31 Inciso 4 N°6;5.01.03.04
Resultado por Venta de Cartera según registros contables;Resultado por Venta de Cartera según registros contables;Resultado por Venta de Cartera según registros contables;5.01.03.05
Resultado por Venta de Cartera a Valor Tributario;Resultado por Venta de Cartera a Valor Tributario;Resultado por Venta de Cartera a Valor Tributario;5.01.03.06
Ajuste por Colocaciones por efecto de Tasa Efectiva;Ajuste por Colocaciones por efecto de Tasa Efectiva;Ajuste por Colocaciones por efecto de Tasa Efectiva;5.01.03.07
Otros agregados al resultado tributario por deudores comericales;Otros agregados al resultado tributario por deudores comericales;Otros agregados al resultado tributario por deudores comericales;5.01.03.98
Otras deducciones al resultado tributario por deudores incobrables;Otras deducciones al resultado tributario por deudores incobrables;Otras deducciones al resultado tributario por deudores incobrables;5.01.03.99
Corr.mon. de los bienes físicos del activo realizable (inventarios)  Art. 41 inciso 1 N°3 LIR;Corr.mon. de los bienes físicos del activo realizable (inventarios)  Art. 41 inciso 1 N°3 LIR;Corr.mon. de los bienes físicos del activo realizable (inventarios)  Art. 41 inciso 1 N°3 LIR;5.01.04.01
Ajuste por  Valor Neto Realización;Ajuste por  Valor Neto Realización;Ajuste por  Valor Neto Realización;5.01.04.02
Ajuste por Provision Obsolescencia;Ajuste por Provision Obsolescencia;Ajuste por Provision Obsolescencia;5.01.04.03
Ajuste por concepto de acortamiento ;Ajuste por concepto de acortamiento ;Ajuste por concepto de acortamiento ;5.01.04.04
Ajuste por Costo Financiero activado (Intereses activados en inventario);Ajuste por Costo Financiero activado (Intereses activados en inventario);Ajuste por Costo Financiero activado (Intereses activados en inventario);5.01.04.09
Ajuste por CIF activados financieramente;Ajuste por CIF activados financieramente;Ajuste por CIF activados financieramente;5.01.04.05
Costo de Ventas según registros contables;Costo de Ventas según registros contables;Costo de Ventas según registros contables;5.01.04.06
Costo directo de bienes y servicios Art.30 LIR;Costo directo de bienes y servicios Art.30 LIR;Costo directo de bienes y servicios Art.30 LIR;5.01.04.07
Ajuste Valor Mercado activos Biológicos;Ajuste Valor Mercado activos Biológicos;Ajuste Valor Mercado activos Biológicos;5.01.04.08
Otros agregados al resultado tributario por inventarios;Otros agregados al resultado tributario por inventarios;Otros agregados al resultado tributario por inventarios;5.01.04.98
Otras deducciones al resultado tributario por inventarios;Otras deducciones al resultado tributario por inventarios;Otras deducciones al resultado tributario por inventarios;5.01.04.99
Corr.mon. de los bienes físicos del activo inmovilizado. Art. 41 inciso 1 N°2;Corr.mon. de los bienes físicos del activo inmovilizado. Art. 41 inciso 1 N°3;Corr.mon. de los bienes físicos del activo inmovilizado. Art. 41 inciso 1 N°4;5.01.05.01
Deterioro (Impairtment) propiedad planta y equipo según registros contables  ;Deterioro (Impairtment) propiedad planta y equipo según registros contables  ;Deterioro (Impairtment) propiedad planta y equipo según registros contables  ;5.01.05.02
Pérdida por revalorización propiedad planta y equipo según registros contables ;Pérdida por revalorización propiedad planta y equipo según registros contables ;Pérdida por revalorización propiedad planta y equipo según registros contables ;5.01.05.03
Castigo Financiero propiedad planta y equipo  según registros contables  ;Castigo Financiero propiedad planta y equipo  según registros contables  ;Castigo Financiero propiedad planta y equipo  según registros contables  ;5.01.05.04
Depreciación Financiera según registros contables  ;Depreciación Financiera según registros contables  ;Depreciación Financiera según registros contables  ;5.01.05.05
Depreciación Normal bienes físicos del activo inmovilizado Art.31 Inciso 4 N°5;Depreciación Normal bienes físicos del activo inmovilizado Art.31 Inciso 4 N°6;Depreciación Normal bienes físicos del activo inmovilizado Art.31 Inciso 4 N°7;5.01.05.06
Depreciación Acelerada bienes físicos del activo inmovilizado Art.31 Inciso 4 N°5;Depreciación Acelerada bienes físicos del activo inmovilizado Art.31 Inciso 4 N°6;Depreciación Acelerada bienes físicos del activo inmovilizado Art.31 Inciso 4 N°7;5.01.05.07
Ajuste por Costo Financiero activado (Intereses activados PPE);Ajuste por Costo Financiero activado (Intereses activados PPE);Ajuste por Costo Financiero activado (Intereses activados PPE);5.01.05.08
Utilidad por revalorización propiedad planta y equipo según registros contables ;Utilidad por revalorización propiedad planta y equipo según registros contables ;Utilidad por revalorización propiedad planta y equipo según registros contables ;5.01.05.09
Ajuste Valor Mercado Propiedades de Inversión;Ajuste Valor Mercado Propiedades de Inversión;Ajuste Valor Mercado Propiedades de Inversión;5.01.05.10
Ajuste Valor Mercado Activos mantenidos para la venta;Ajuste Valor Mercado Activos mantenidos para la venta;Ajuste Valor Mercado Activos mantenidos para la venta;5.01.05.11
Ajuste Valor Mercado Activos provenientes de Intercambios de activos;Ajuste Valor Mercado Activos provenientes de Intercambios de activos;Ajuste Valor Mercado Activos provenientes de Intercambios de activos;5.01.05.12
Provisión bienes recibidos en pago, remate judicial o de aquellos disponibles para la venta;Provisión bienes recibidos en pago, remate judicial o de aquellos disponibles para la venta;Provisión bienes recibidos en pago, remate judicial o de aquellos disponibles para la venta;5.01.05.13
Resultado por Enajenacion de propiedad planta y equipo, Propiedades de Inversion y Activos disponibles para la venta según registros contables;Resultado por Enajenacion de propiedad planta y equipo, Propiedades de Inversion y Activos disponibles para la venta según registros contables;Resultado por Enajenacion de propiedad planta y equipo, Propiedades de Inversion y Activos disponibles para la venta según registros contables;5.01.05.14
Resultado por Enajenacion de  bienes físicos del activo inmovilizado (valor tributario);Resultado por Enajenacion de  bienes físicos del activo inmovilizado (valor tributario);Resultado por Enajenacion de  bienes físicos del activo inmovilizado (valor tributario);5.01.05.15
Castigo Tributario de los bienes físicos del activo inmovilizado;Castigo Tributario de los bienes físicos del activo inmovilizado;Castigo Tributario de los bienes físicos del activo inmovilizado;5.01.05.16
Ajuste por Remodelaciones Bienes Propios;Ajuste por Remodelaciones Bienes Propios;Ajuste por Remodelaciones Bienes Propios;5.01.05.17
Ajuste por Remodelaciones Bienes de Terceros;Ajuste por Remodelaciones Bienes de Terceros;Ajuste por Remodelaciones Bienes de Terceros;5.01.05.18
Dep.Acel.bienes físicos del activo inmovilizado Art.31 Inciso 4 N°5 Bis Inciso 1ro (12 Meses);Dep.Acel.bienes físicos del activo inmovilizado Art.31 Inciso 4 N°5 Bis Inciso 1ro (12 Meses);Dep.Acel.bienes físicos del activo inmovilizado Art.31 Inciso 4 N°5 Bis Inciso 1ro (12 Meses);5.01.05.19
